Parcela;Latitude;Longitude;Fisionomia;Fenologia;Complementos;Ambiente;Lenhosa dominante;Herbácea dominante;Estiagem;Erosão;Fogo;Desmatamento;Pastoreio/herbivoria;Inundação;Observação
1;-9,170225;-39,855621;floresta densa;semidecídua;com lianas, sub-bosque e serrapilheira densa;ribeirinho sazonal;Tabebuia aurea (caraibeira), geoffroea spinosa (marizeiro), cenostigma pyramidale (catingueira), myracrodruon urundeuva (aroeira);erva lisa;1;3;0;0;1;1;riacho da melancia parcela 16
2;-9,169857;-39,862073;floresta densa;semidecídua;com lianas, sub-bosque e serrapilheira;ribeirinho sazonal;cenostigma pyramidale (catingueira) e libidibia ferrea (pau-ferro);Tacinga inamoema (quipá);1;3;0;0;1;1;riacho da melancia parcela 17
3;-9,170787;-39,864044;floresta densa;semidecídua;Sub-bosque e serrapilheira;ribeirinho sazonal;Tabebuia aurea (caraibeira), cenostigma pyramidale (catingueira), pithecellobium diversifolium (carcarazeiro);Tacinga inamoema (quipá), aristida adscensiones (capim panasco);1;3;0;0;1;1;riacho da melancia parcela 20
4;-9,17312;-39,8678;arbustal denso;decíduo;com plantas emergentes;pedregoso com calhaus;Croton spp (marmeleiro),commmiphora leptophloeos (imburana de cambão), cenostigma microphyllum (catingueira rasteira);cnoscolus urens (urtiga branca) e aristida adscensiones (capim panasco);2;0;0;0;2;0;Parcela 21
5;-9,1758;-39,86807;arbustal denso;decíduo;com facheirais ocasionais;pedregoso com calhaus;Croton spp (marmeleiro), cenostigma microphyllum (catingueira rasteira);sida sp (malva nova);2;0;0;0;2;0;Parcela 22
6;-9,17831;-39,86839;arbustal denso;decíduo;com facheirais ocasionais;pedregoso com calhaus;Croton spp (marmeleiro),;sida sp (malva nova);2;0;0;0;2;0;Parcela 35
7;-9,16917;-39,851973;arbustal denso;decíduo;com plantas emergentes ;pedregoso com calhaus;cenostigma microphyllum (catingueira rasteira), Cnidoscolus quercifolius ( faveleira);aristida adscensiones (capim panasco);2;0;0;0;2;0;Parcela 19
8;-9,16637;-39,8499384;arbustal denso;decídua;;carbonático;cenostigma microphyllum (catingueira rasteira);aristida adscensiones (capim panasco);2;0;0;0;3;0;Parcela 15
9;-9,16282;-39,84445;arbustal denso;decídua;;carbonático;cenostigma pyramidale (catingueira), cenostigma microphyllum (catingueira rasteira) e  sida galheirensis (ervaço) ;aristida adscensiones (capim panasco);2;0;0;0;2;0;Parcela 18
10;-9,15967;-39,843723;arbustal denso;decídua;com plantas emergentes ;carbonático;cenostigma microphyllum (catingueira rasteira) , sida galheirensis (ervaço)  e spondias tuberosa( umbuzeiro);aristida adscensiones (capim panasco);2;0;0;1;2;0;Parcela 14
